No,Company Name(Required),Website Address,Company Number(Add second phone number after semicolon),Company Number Type(Add second phone type after semicolon),Company Email(Add second email  after semicolon),Company Email Type(Add second phone type after semicolon),fax_no,Vendor Type,Business Type,Lead Source,Client Salutation Name,Client First Name(Required),Client Last Name,Linkedin URL,Client Designation,Client Phone(Add second phone number after semicolon),Client Phone Type(Add second phone type after semicolon),Client Mail(Add second email after semicolon),Client Email Type(Add second email type after semicolon),House No,Street Name,"Address Line 2(Don't use comma(,) in any column)",City/County,State,Country,Zip Code,Time Zone,DATE,DISPOSITION,COMMENTS
1,Bundle Of Fun,http://bundleoffun.com,3054802885,Mobile,bundleoffunsales@aol.com,Work,,,,,,,,,,,,,,,,,,FL,,,,17/3/2021,call bck,call bck arund 10
2,Polymath Inc,http://polymathink.com,3054562026,Mobile,info@polymathink.com,Work,,,,,,,,,,,,,,,,,,FL,,,,26/3/2021,call bck,
3,Artcraft Engraving & Printing,Artcraftengraving.com,3055579449,Mobile,promos@artcraftengraving.com,Work,,,,,Mr.,Rick,Narup,,,,,,,,,,,FL,,,,14/3/2021,call bck,call bck  mndy
4,Cleary J W Co,http://www.jwcleary.com,6144818864,Mobile,sales@jwcleary.com,Work,,,,,,,,,,,,,,,,,,OH,,,,14/3/2021,call bck,call bck tmorow
6,Jun Et All Multi Services,http://www.jeams.net,3472615658,Mobile,jun@jeams.net,Work,,,,,,,,,,,,,,,,,,NY,,,,25/3/2021,call bck,art department is closed currently..try nxt mnth
7,A New Dimension Graphic Design,www.andprinting.com,7703822352,Mobile,info@andprinting.com,Work,,,,,,,,,,,,,,,,,,GA,,,,2021-12-04,call bck,dont know when he will be available
8,Celebration Promotional Products,http://celebrationpromo.com,9125981656,Mobile,jhc1121@aol.com,Work,,,,,,,,,,,,,,,,,,GA,,,,18/3/2021,call bck,right now just doing reorders
9,Lassiter Advertising,http://www.lassiteradv.com,2609256580,Mobile,judi@lassiteradv.com,Work,,,,,Ms.,Sandra,,,,,,,,,,,,IN,,,,25/3/2021,call bck,staff working from home due to covid  so email everything
10,Kassis Superior Signs Inc,http://kassissigns.com,3154637446,Mobile,info@kassissigns.com,Work,,,,,Mr.,Joe,,,,,,joe@kassissigns.com,Work,,,,,NY,,,,14/3/2021,call bck,
11,Custom Graphic Designs,http://customgraphicdesigns.net,3864908913,Mobile,rick@customgraphicdesigns.net,Work,,,,,,,,,,3869850800,Mobile,,,,,,,FL,,,,2021-06-04,interested cx.,if need something he will call..
